"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,3803.0,3791.0
0.00103542,3469.0,3459.0
0.0010721,3164.0,3155.0
0.0010721,3176.0,3167.0
0.0015,1283.0,1280.0
0.002,574.6,572.7
0.0021455,470.7,469.0
0.0021455,475.2,473.2
0.00230297,388.3,386.5
0.002472,317.0,315.4
0.002472,322.6,320.6
0.0026414,266.8,265.0
0.0028224,220.4,218.9
0.0028224,224.8,222.9
0.003,188.8,187.0
0.0036074,110.3,109.1
0.0036074,112.5,111.0
0.004,83.06,81.81
0.005,42.96,42.1
0.006,24.97,24.31
0.008,10.58,10.1
0.01,5.459,5.067
0.015,1.721,1.423
0.02,0.8316,0.574
0.03,0.3815,0.1635
0.04,0.2699,0.07286
0.05,0.227,0.04393
0.06,0.2053,0.03282
0.08,0.1826,0.02625
0.1,0.1695,0.0255
0.15,0.1493,0.02748
0.2,0.1359,0.02945
0.3,0.1177,0.03167
0.4,0.1053,0.03252
0.5,0.09607,0.03272
0.6,0.08882,0.03257
0.8,0.078,0.03179
1.0,0.07013,0.03077
1.25,0.06271,0.0294
1.5,0.05706,0.0281
2.0,0.049,0.02586
3.0,0.03935,0.02262
4.0,0.03374,0.02048
5.0,0.03005,0.01898
6.0,0.02746,0.01789
8.0,0.02407,0.01643
10.0,0.02198,0.01551
15.0,0.01922,0.01427
20.0,0.01794,0.01367
