"Name", "Z", "dens [g/cm3]"
"Hydrogen",1,0.179
"Helium",2,0.535
"Lithium",3,1.85
"Beryllium",4,2.47
"Boron",5,2.26
"Carbon, Graphite",6,1.25
"Nitrogen",7,1.43
"Oxygen",8,1.67
"Fluorine",9,0.9
"Neon",10,0.968
"Sodium",11,1.74
"Magnesium",12,2.7
"Aluminum",13,2.33
"Silicon",14,1.823
"Phosphorus",15,1.96
"Sulfur",16,3.214
"Chlorine",17,1.79
"Argon",18,0.856
"Potassium",19,1.55
"Calcium",20,2.985
"Scandium",21,4.507
"Titanium",22,6.11
"Vanadium",23,7.19
"Chromium",24,7.47
"Manganese",25,7.875
"Iron",26,8.9
"Cobalt",27,8.908
"Nickel",28,8.96
"Copper",29,7.14
"Zinc",30,5.904
"Gallium",31,5.323
"Germanium",32,5.73
"Arsenic",33,4.82
"Selenium",34,3.12
"Bromine",35,3.75
"Krypton",36,1.53
"Rubidium",37,2.63
"Strontium",38,4.472
"Yttrium",39,6.511
"Zirconium",40,8.57
"Niobium",41,10.28
"Molybdenum",42,11.5
"Technetium",43,12.37
"Ruthenium",44,12.45
"Rhodium",45,12.023
"Palladium",46,10.5
"Silver",47,8.65
"Cadmium",48,7.31
"Indium",49,7.31
"Tin",50,6.7
"Antimony",51,6.24
"Tellurium",52,4.94
"Iodine",53,5.9
"Xenon",54,1.88
"Cesium",55,3.51
"Barium",56,6.15
"Lanthanum",57,6.69
"Cerium",58,6.64
"Praseodymium",59,7.01
"Neodymium",60,7.26
"Promethium",61,7.35
"Samarium",62,5.25
"Europium",63,7.9
"Gadolinium",64,8.22
"Terbium",65,8.55
"Dysprosium",66,8.8
"Holmium",67,9.06
"Erbium",68,9.32
"Thulium",69,6.57
"Ytterbium",70,9.84
"Lutetium",71,13.31
"Hafnium",72,16.65
"Tantalum",73,19.25
"Tungsten",74,21.02
"Rhenium",75,22.6
"Osmium",76,22.56
"Iridium",77,21.45
"Platinum",78,19.3
"Gold",79,13.535
"Mercury",80,11.85
"Thallium",81,11.34
"Lead",82,9.78
"Bismuth",83,9.16
"Astatine",85,9.73
"Francium",87,5.0
"Radium",88,10.07
"Actinium",89,11.725
"Thorium",90,15.37
"Protactinium",91,19.05
"Uranium",92,20.45
