"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,2396.0,2386.0
0.00111409,1956.0,1946.0
0.0012412,1591.0,1581.0
0.0012412,2337.0,2321.0
0.00125799,3515.0,3488.0
0.001275,5023.0,4984.0
0.001275,5928.0,5881.0
0.0015,5314.0,5274.0
0.0016113,4464.0,4431.0
0.0016113,5164.0,5125.0
0.00168769,4635.0,4601.0
0.0017677,4166.0,4135.0
0.0017677,4424.0,4391.0
0.00186493,3929.0,3899.0
0.0019675,3482.0,3456.0
0.0019675,3638.0,3611.0
0.002,3507.0,3481.0
0.003,1354.0,1342.0
0.004,669.7,660.7
0.005,383.8,376.5
0.006,242.3,236.2
0.007514,136.8,131.8
0.007514,365.8,326.6
0.008,313.3,281.0
0.0082516,288.1,259.0
0.0082516,392.5,344.3
0.00847673,368.4,323.9
0.008708,344.1,303.3
0.008708,397.0,348.3
0.01,281.5,250.2
0.015,98.02,89.14
0.02,45.88,41.84
0.03,15.63,14.02
0.04,7.288,6.357
0.05,4.064,3.422
0.0519957,3.672,3.068
0.0519957,17.77,5.291
0.06,12.23,4.673
0.08,5.826,2.986
0.1,3.253,1.899
0.15,1.151,0.7474
0.2,0.5775,0.3736
0.3,0.2498,0.147
0.4,0.1562,0.08354
0.5,0.1167,0.05842
0.6,0.09562,0.04614
0.8,0.07365,0.03474
1.0,0.06196,0.02942
1.25,0.05321,0.02565
1.5,0.04808,0.02352
2.0,0.04272,0.02166
3.0,0.03908,0.02151
4.0,0.03848,0.02266
5.0,0.03894,0.02402
6.0,0.03981,0.02532
8.0,0.04206,0.02758
10.0,0.04449,0.02937
15.0,0.05017,0.03224
20.0,0.0547,0.03343
